Event	Twet_ID	User_ID	Date	Orig_Tweet	Situational	Confidence	R1NR0
charliehebdo	552789127792717826	297325085	2015-01-07 11:29:33+00:00	Just confirmed. 10 people dead at shooting in the centre of #Paris. Many believed to be journos working for #CharlieHebdo	1	0.880433371	1
charliehebdo	552801880812691456	220416676	2015-01-07 12:20:13+00:00	Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo	1	0.880412968	1
charliehebdo	553552825431883776	2566535282	2015-01-09 14:04:12+00:00	Breaking: Unconfirmed reports of a gunman at the Trocadero near the Eiffel Tower in #Paris. More info when available.	2	0.820021156	1
charliehebdo	553589055116836864	3108351	2015-01-09 16:28:10+00:00	"Breaking: Kouachi brothers dead; hostage freed after raid in Dammartin-en-Goele, says person familiar with matter http://t.co/FYkXChPD4d"	1	0.880412968	1
charliehebdo	552818821460148226	25049056	2015-01-07 13:27:32+00:00	"According to #CharlieHebdo's lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous."	1	0.880505562	1
charliehebdo	553160652567498752	28785486	2015-01-08 12:05:51+00:00	French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB	2	0.820019036	1
charliehebdo	553506608203169792	5402612	2015-01-09 11:00:33+00:00	"Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police http://t.co/hi9g8dxpiR http://t.co/Vw2L6SQcMH"	2	0.820021156	1
charliehebdo	553574501964079104	87416722	2015-01-09 15:30:20+00:00	Update - police say gunman in #Paris grocery threatens to kill hostages if police storm suspected #CharlieHebdo gunmen in Dammartin-en-Goele	1	0.880412968	1
charliehebdo	553502446769942528	15438913	2015-01-09 10:44:01+00:00	Charlie Hebdo killers tell police: 'We are ready to die as martyrs' http://t.co/h4Gp9BAetN http://t.co/MMF4hXUKDd	2	0.820046192	1
charliehebdo	553515399438811136	759251	2015-01-09 11:35:29+00:00	Police have surrounded the area where the #CharlieHebdo attack suspects are believed to be: http://t.co/3tGXEIX4F2 https://t.co/aBSezf2QWS	2	0.820021156	1
charliehebdo	553553813542797312	2566535282	2015-01-09 14:08:08+00:00	Trocadero square in Paris evacuated. Policemen pointing their gun. http://t.co/3fCXh6Sgp8 via @MelodiePeps	1	0.880412968	1
charliehebdo	552790074166108160	87818409	2015-01-07 11:33:18+00:00	Ten dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/JXujfbiZGu	1	0.880433371	1
charliehebdo	552816020403269632	174253648	2015-01-07 13:16:24+00:00	"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous"	1	0.704757443	1
